age,numberChildren,incomeRating,wealthRating,mailOrderPurchases,totalGivingAmount,numberGifts,smallestGiftAmount,largestGiftAmount,averageGiftAmount,yearsSinceFirstDonation,monthsSinceLastDonation,inHouseDonor,plannedGivingDonor,sweepstakesDonor,P3Donor,state,urbanicity,socioEconomicStatus,isHomeowner,gender,respondedMailing
60,NA,NA,NA,0,240,31,5,12,7.7419354839,8,14,FALSE,FALSE,FALSE,FALSE,IL,town,average,NA,female,FALSE
46,1,6,9,16,47,3,10,25,15.666666667,3,14,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,male,FALSE
NA,NA,3,1,2,202,27,2,16,7.4814814815,7,14,FALSE,FALSE,FALSE,FALSE,NC,rural,average,NA,male,FALSE
70,NA,1,4,2,109,16,2,11,6.8125,10,14,FALSE,FALSE,FALSE,FALSE,CA,rural,average,NA,female,FALSE
78,1,3,2,60,254,37,3,15,6.8648648649,11,13,TRUE,FALSE,FALSE,TRUE,FL,suburb,average,TRUE,female,FALSE
NA,NA,NA,NA,0,51,4,10,16,12.75,3,20,FALSE,FALSE,FALSE,FALSE,AL,town,average,NA,NA,FALSE
38,1,4,6,0,107,14,3,12,7.6428571429,10,22,FALSE,FALSE,FALSE,FALSE,IN,town,average,TRUE,female,FALSE
NA,NA,2,9,1,31,5,5,11,6.2,3,18,FALSE,FALSE,FALSE,FALSE,LA,town,average,NA,female,FALSE
NA,NA,3,2,0,199,11,10,22,18.090909091,9,19,FALSE,FALSE,FALSE,FALSE,IA,rural,average,NA,male,FALSE
65,NA,NA,NA,0,28,3,3,15,9.3333333333,3,22,FALSE,FALSE,FALSE,FALSE,TN,town,highest,NA,male,FALSE
NA,NA,2,0,0,20,1,20,20,20,1,12,FALSE,FALSE,FALSE,FALSE,KS,rural,lowest,NA,female,FALSE
75,NA,1,5,3,25,2,10,15,12.5,1,14,FALSE,FALSE,FALSE,FALSE,IN,suburb,average,NA,male,FALSE
72,2,4,2,16,48,9,4,7,5.3333333333,8,13,FALSE,FALSE,FALSE,FALSE,MN,rural,lowest,TRUE,female,FALSE
NA,NA,NA,NA,0,245,12,5,50,20.416666667,5,2,TRUE,FALSE,FALSE,FALSE,LA,town,average,NA,male,FALSE
70,NA,4,6,17,74,7,5,15,10.571428571,4,20,FALSE,FALSE,FALSE,FALSE,UT,town,highest,TRUE,male,FALSE
